date_time,OPERATIONAL_DEMAND
2022-01-01 00:00:00,7329
2022-01-01 00:30:00,7145
2022-01-01 01:00:00,6891
2022-01-01 01:30:00,6578
2022-01-01 02:00:00,6306
2022-01-01 02:30:00,6163
2022-01-01 03:00:00,6057
2022-01-01 03:30:00,6001
2022-01-01 04:00:00,5951
2022-01-01 04:30:00,5953
2022-01-01 05:00:00,5903
2022-01-01 05:30:00,5894
2022-01-01 06:00:00,5809
2022-01-01 06:30:00,5778
2022-01-01 07:00:00,5773
2022-01-01 07:30:00,5779
2022-01-01 08:00:00,5782
2022-01-01 08:30:00,5765
2022-01-01 09:00:00,5735
2022-01-01 09:30:00,5705
2022-01-01 10:00:00,5660
2022-01-01 10:30:00,5664
2022-01-01 11:00:00,5756
2022-01-01 11:30:00,5889
2022-01-01 12:00:00,6022
2022-01-01 12:30:00,6065
2022-01-01 13:00:00,6172
2022-01-01 13:30:00,6290
2022-01-01 14:00:00,6540
2022-01-01 14:30:00,6719
2022-01-01 15:00:00,6933
2022-01-01 15:30:00,7353
2022-01-01 16:00:00,7616
2022-01-01 16:30:00,7816
2022-01-01 17:00:00,8050
2022-01-01 17:30:00,8192
2022-01-01 18:00:00,8290
2022-01-01 18:30:00,8290
2022-01-01 19:00:00,8294
2022-01-01 19:30:00,8245
2022-01-01 20:00:00,8249
2022-01-01 20:30:00,8132
2022-01-01 21:00:00,7959
2022-01-01 21:30:00,7820
2022-01-01 22:00:00,7674
2022-01-01 22:30:00,7504
2022-01-01 23:00:00,7300
2022-01-01 23:30:00,7120
2022-01-02 00:00:00,6980
2022-01-02 00:30:00,6792
2022-01-02 01:00:00,6589
2022-01-02 01:30:00,6336
2022-01-02 02:00:00,6164
2022-01-02 02:30:00,6038
2022-01-02 03:00:00,5966
2022-01-02 03:30:00,5921
2022-01-02 04:00:00,5879
2022-01-02 04:30:00,5912
2022-01-02 05:00:00,5904
2022-01-02 05:30:00,5927
2022-01-02 06:00:00,5905
2022-01-02 06:30:00,5917
2022-01-02 07:00:00,5872
2022-01-02 07:30:00,5912
2022-01-02 08:00:00,5903
2022-01-02 08:30:00,5930
2022-01-02 09:00:00,5891
2022-01-02 09:30:00,5945
2022-01-02 10:00:00,5996
2022-01-02 10:30:00,6056
2022-01-02 11:00:00,6139
2022-01-02 11:30:00,6209
2022-01-02 12:00:00,6349
2022-01-02 12:30:00,6502
2022-01-02 13:00:00,6713
2022-01-02 13:30:00,6937
2022-01-02 14:00:00,7115
2022-01-02 14:30:00,7337
2022-01-02 15:00:00,7653
2022-01-02 15:30:00,7951
2022-01-02 16:00:00,8306
2022-01-02 16:30:00,8695
2022-01-02 17:00:00,9087
2022-01-02 17:30:00,9364
2022-01-02 18:00:00,9454
2022-01-02 18:30:00,9370
2022-01-02 19:00:00,9140
2022-01-02 19:30:00,8893
2022-01-02 20:00:00,8789
2022-01-02 20:30:00,8646
2022-01-02 21:00:00,8379
2022-01-02 21:30:00,8160
2022-01-02 22:00:00,7959
2022-01-02 22:30:00,7807
2022-01-02 23:00:00,7548
2022-01-02 23:30:00,7308
2022-01-03 00:00:00,7125
2022-01-03 00:30:00,6935
2022-01-03 01:00:00,6719
2022-01-03 01:30:00,6470
2022-01-03 02:00:00,6291
2022-01-03 02:30:00,6174
2022-01-03 03:00:00,6098
2022-01-03 03:30:00,6037
2022-01-03 04:00:00,6032
2022-01-03 04:30:00,6080
2022-01-03 05:00:00,6117
2022-01-03 05:30:00,6162
2022-01-03 06:00:00,6179
2022-01-03 06:30:00,6230
2022-01-03 07:00:00,6268
2022-01-03 07:30:00,6291
2022-01-03 08:00:00,6299
2022-01-03 08:30:00,6294
2022-01-03 09:00:00,6320
2022-01-03 09:30:00,6374
2022-01-03 10:00:00,6411
2022-01-03 10:30:00,6423
2022-01-03 11:00:00,6439
2022-01-03 11:30:00,6521
2022-01-03 12:00:00,6589
2022-01-03 12:30:00,6699
2022-01-03 13:00:00,6764
2022-01-03 13:30:00,6890
2022-01-03 14:00:00,7073
2022-01-03 14:30:00,7306
2022-01-03 15:00:00,7567
2022-01-03 15:30:00,7812
2022-01-03 16:00:00,8143
2022-01-03 16:30:00,8447
2022-01-03 17:00:00,8748
2022-01-03 17:30:00,8963
2022-01-03 18:00:00,9109
2022-01-03 18:30:00,9041
2022-01-03 19:00:00,8883
2022-01-03 19:30:00,8748
2022-01-03 20:00:00,8634
2022-01-03 20:30:00,8502
2022-01-03 21:00:00,8302
2022-01-03 21:30:00,8144
2022-01-03 22:00:00,7996
2022-01-03 22:30:00,7859
2022-01-03 23:00:00,7667
2022-01-03 23:30:00,7489
2022-01-04 00:00:00,7349
2022-01-04 00:30:00,7111
2022-01-04 01:00:00,6860
2022-01-04 01:30:00,6572
2022-01-04 02:00:00,6372
2022-01-04 02:30:00,6256
2022-01-04 03:00:00,6189
2022-01-04 03:30:00,6173
2022-01-04 04:00:00,6200
2022-01-04 04:30:00,6308
2022-01-04 05:00:00,6414
2022-01-04 05:30:00,6604
2022-01-04 06:00:00,6747
2022-01-04 06:30:00,6934
2022-01-04 07:00:00,7057
2022-01-04 07:30:00,7220
2022-01-04 08:00:00,7314
2022-01-04 08:30:00,7355
2022-01-04 09:00:00,7317
2022-01-04 09:30:00,7250
2022-01-04 10:00:00,7274
2022-01-04 10:30:00,7273
2022-01-04 11:00:00,7291
2022-01-04 11:30:00,7295
2022-01-04 12:00:00,7323
2022-01-04 12:30:00,7445
2022-01-04 13:00:00,7452
2022-01-04 13:30:00,7571
2022-01-04 14:00:00,7782
2022-01-04 14:30:00,7952
2022-01-04 15:00:00,8181
2022-01-04 15:30:00,8321
2022-01-04 16:00:00,8610
2022-01-04 16:30:00,8910
2022-01-04 17:00:00,9190
2022-01-04 17:30:00,9292
2022-01-04 18:00:00,9389
