date_time,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
2022-01-01 00:00:00,7451.0,7336,7221.0
2022-01-01 00:30:00,7288.0,7151,7013.0
2022-01-01 01:00:00,7032.0,6899,6766.0
2022-01-01 01:30:00,6711.0,6585,6458.0
2022-01-01 02:00:00,6450.0,6328,6206.0
2022-01-01 02:30:00,6233.0,6115,5997.0
2022-01-01 03:00:00,6164.0,6048,5931.0
2022-01-01 03:30:00,6084.0,5969,5854.0
2022-01-01 04:00:00,6027.0,5913,5799.0
2022-01-01 04:30:00,5981.0,5868,5755.0
2022-01-01 05:00:00,5951.0,5839,5726.0
2022-01-01 05:30:00,5884.0,5772,5661.0
2022-01-01 06:00:00,5940.0,5828,5715.0
2022-01-01 06:30:00,5937.0,5824,5712.0
2022-01-01 07:00:00,5963.0,5850,5737.0
2022-01-01 07:30:00,5986.0,5872,5759.0
2022-01-01 08:00:00,5946.0,5834,5721.0
2022-01-01 08:30:00,6032.0,5918,5804.0
2022-01-01 09:00:00,5799.0,5689,5580.0
2022-01-01 09:30:00,5893.0,5781,5670.0
2022-01-01 10:00:00,5772.0,5663,5553.0
2022-01-01 10:30:00,5798.0,5688,5578.0
2022-01-01 11:00:00,5772.0,5663,5554.0
2022-01-01 11:30:00,5932.0,5820,5708.0
2022-01-01 12:00:00,6085.0,5970,5855.0
2022-01-01 12:30:00,6186.0,6069,5952.0
2022-01-01 13:00:00,6230.0,6112,5994.0
2022-01-01 13:30:00,6384.0,6263,6142.0
2022-01-01 14:00:00,6508.0,6385,6262.0
2022-01-01 14:30:00,6833.0,6704,6575.0
2022-01-01 15:00:00,6997.0,6864,6732.0
2022-01-01 15:30:00,7287.0,7149,7011.0
2022-01-01 16:00:00,7815.0,7667,7519.0
2022-01-01 16:30:00,7923.0,7773,7623.0
2022-01-01 17:00:00,8189.0,8035,7880.0
2022-01-01 17:30:00,8368.0,8210,8052.0
2022-01-01 18:00:00,8400.0,8241,8082.0
2022-01-01 18:30:00,8447.0,8288,8128.0
2022-01-01 19:00:00,8385.0,8226,8068.0
2022-01-01 19:30:00,8420.0,8261,8102.0
2022-01-01 20:00:00,8369.0,8211,8053.0
2022-01-01 20:30:00,8301.0,8144,7987.0
2022-01-01 21:00:00,8149.0,7995,7841.0
2022-01-01 21:30:00,7927.0,7777,7627.0
2022-01-01 22:00:00,7830.0,7682,7534.0
2022-01-01 22:30:00,7705.0,7559,7414.0
2022-01-01 23:00:00,7422.0,7281,7141.0
2022-01-01 23:30:00,7209.0,7073,6937.0
2022-01-02 00:00:00,7082.0,6917,6752.0
2022-01-02 00:30:00,6928.0,6797,6666.0
2022-01-02 01:00:00,6726.0,6599,6472.0
2022-01-02 01:30:00,6475.0,6352,6230.0
2022-01-02 02:00:00,6280.0,6162,6043.0
2022-01-02 02:30:00,6171.0,6054,5937.0
2022-01-02 03:00:00,6095.0,5979,5864.0
2022-01-02 03:30:00,6055.0,5940,5826.0
2022-01-02 04:00:00,6030.0,5916,5802.0
2022-01-02 04:30:00,6013.0,5900,5786.0
2022-01-02 05:00:00,6046.0,5932,5818.0
2022-01-02 05:30:00,6031.0,5917,5803.0
2022-01-02 06:00:00,6049.0,5935,5820.0
2022-01-02 06:30:00,6026.0,5912,5798.0
2022-01-02 07:00:00,6058.0,5943,5829.0
2022-01-02 07:30:00,6035.0,5921,5806.0
2022-01-02 08:00:00,6130.0,6014,5898.0
2022-01-02 08:30:00,6085.0,5970,5854.0
2022-01-02 09:00:00,6075.0,5960,5845.0
2022-01-02 09:30:00,5991.0,5877,5764.0
2022-01-02 10:00:00,6091.0,5975,5860.0
2022-01-02 10:30:00,6148.0,6032,5916.0
2022-01-02 11:00:00,6218.0,6101,5983.0
2022-01-02 11:30:00,6292.0,6173,6054.0
2022-01-02 12:00:00,6457.0,6335,6213.0
2022-01-02 12:30:00,6600.0,6475,6350.0
2022-01-02 13:00:00,6706.0,6579,6452.0
