INTERVAL_DATETIME,TYPE,POWER
2022-01-01 00:00:00,MEASUREMENT,0.0
2022-01-01 00:00:00,SATELLITE,0.0
2022-01-01 00:30:00,MEASUREMENT,0.0
2022-01-01 00:30:00,SATELLITE,0.0
2022-01-01 01:00:00,MEASUREMENT,0.0
2022-01-01 01:00:00,SATELLITE,0.0
2022-01-01 01:30:00,MEASUREMENT,0.0
2022-01-01 01:30:00,SATELLITE,0.0
2022-01-01 02:00:00,MEASUREMENT,0.0
2022-01-01 02:00:00,SATELLITE,0.0
2022-01-01 02:30:00,MEASUREMENT,0.0
2022-01-01 02:30:00,SATELLITE,0.0
2022-01-01 03:00:00,MEASUREMENT,0.0
2022-01-01 03:00:00,SATELLITE,0.0
2022-01-01 03:30:00,MEASUREMENT,0.0
2022-01-01 03:30:00,SATELLITE,0.0
2022-01-01 04:00:00,MEASUREMENT,0.0
2022-01-01 04:00:00,SATELLITE,0.0
2022-01-01 04:30:00,MEASUREMENT,0.0
2022-01-01 04:30:00,SATELLITE,0.0
2022-01-01 05:00:00,MEASUREMENT,2.474
2022-01-01 05:00:00,SATELLITE,21.245
2022-01-01 05:30:00,MEASUREMENT,64.35
2022-01-01 05:30:00,SATELLITE,116.516
2022-01-01 06:00:00,MEASUREMENT,236.538
2022-01-01 06:00:00,SATELLITE,308.041
2022-01-01 06:30:00,MEASUREMENT,487.281
2022-01-01 06:30:00,SATELLITE,536.93
2022-01-01 07:00:00,MEASUREMENT,747.186
2022-01-01 07:00:00,SATELLITE,792.218
2022-01-01 07:30:00,MEASUREMENT,1058.404
2022-01-01 07:30:00,SATELLITE,1070.27
2022-01-01 08:00:00,MEASUREMENT,1358.234
2022-01-01 08:00:00,SATELLITE,1386.007
2022-01-01 08:30:00,MEASUREMENT,1725.081
2022-01-01 08:30:00,SATELLITE,1714.484
2022-01-01 09:00:00,MEASUREMENT,1923.176
2022-01-01 09:00:00,SATELLITE,2001.312
2022-01-01 09:30:00,MEASUREMENT,2209.76
2022-01-01 09:30:00,SATELLITE,2239.177
2022-01-01 10:00:00,MEASUREMENT,2396.003
2022-01-01 10:00:00,SATELLITE,2398.803
2022-01-01 10:30:00,MEASUREMENT,2624.112
2022-01-01 10:30:00,SATELLITE,2510.743
2022-01-01 11:00:00,MEASUREMENT,2645.88
2022-01-01 11:00:00,SATELLITE,2573.733
2022-01-01 11:30:00,MEASUREMENT,2649.295
2022-01-01 11:30:00,SATELLITE,2615.419
2022-01-01 12:00:00,MEASUREMENT,2685.872
2022-01-01 12:00:00,SATELLITE,2668.966
2022-01-01 12:30:00,MEASUREMENT,2685.811
2022-01-01 12:30:00,SATELLITE,2714.282
2022-01-01 13:00:00,MEASUREMENT,2711.828
2022-01-01 13:00:00,SATELLITE,2666.874
2022-01-01 13:30:00,MEASUREMENT,2635.853
2022-01-01 13:30:00,SATELLITE,2476.297
2022-01-01 14:00:00,MEASUREMENT,2451.884
2022-01-01 14:00:00,SATELLITE,2256.062
2022-01-01 14:30:00,MEASUREMENT,2332.854
2022-01-01 14:30:00,SATELLITE,2078.582
2022-01-01 15:00:00,MEASUREMENT,2227.64
2022-01-01 15:00:00,SATELLITE,1892.288
2022-01-01 15:30:00,MEASUREMENT,1809.246
2022-01-01 15:30:00,SATELLITE,1646.222
2022-01-01 16:00:00,MEASUREMENT,1479.602
2022-01-01 16:00:00,SATELLITE,1385.997
2022-01-01 16:30:00,MEASUREMENT,1154.847
2022-01-01 16:30:00,SATELLITE,1131.851
2022-01-01 17:00:00,MEASUREMENT,914.075
2022-01-01 17:00:00,SATELLITE,896.893
2022-01-01 17:30:00,MEASUREMENT,686.169
2022-01-01 17:30:00,SATELLITE,668.02
2022-01-01 18:00:00,MEASUREMENT,477.484
2022-01-01 18:00:00,SATELLITE,442.13
2022-01-01 18:30:00,MEASUREMENT,274.42
2022-01-01 18:30:00,SATELLITE,231.777
2022-01-01 19:00:00,MEASUREMENT,95.022
2022-01-01 19:00:00,SATELLITE,66.358
2022-01-01 19:30:00,MEASUREMENT,6.09
2022-01-01 19:30:00,SATELLITE,4.581
2022-01-01 20:00:00,MEASUREMENT,0.0
2022-01-01 20:00:00,SATELLITE,0.0
2022-01-01 20:30:00,MEASUREMENT,0.0
2022-01-01 20:30:00,SATELLITE,0.0
2022-01-01 21:00:00,MEASUREMENT,0.0
2022-01-01 21:00:00,SATELLITE,0.0
2022-01-01 21:30:00,MEASUREMENT,0.0
2022-01-01 21:30:00,SATELLITE,0.0
2022-01-01 22:00:00,MEASUREMENT,0.0
2022-01-01 22:00:00,SATELLITE,0.0
2022-01-01 22:30:00,MEASUREMENT,0.0
2022-01-01 22:30:00,SATELLITE,0.0
2022-01-01 23:00:00,MEASUREMENT,0.0
2022-01-01 23:00:00,SATELLITE,0.0
2022-01-01 23:30:00,MEASUREMENT,0.0
2022-01-01 23:30:00,SATELLITE,0.0
2022-01-02 00:00:00,MEASUREMENT,0.0
2022-01-02 00:00:00,SATELLITE,0.0
2022-01-02 00:30:00,MEASUREMENT,0.0
2022-01-02 00:30:00,SATELLITE,0.0
2022-01-02 01:00:00,MEASUREMENT,0.0
2022-01-02 01:00:00,SATELLITE,0.0
2022-01-02 01:30:00,MEASUREMENT,0.0
2022-01-02 01:30:00,SATELLITE,0.0
2022-01-02 02:00:00,MEASUREMENT,0.0
2022-01-02 02:00:00,SATELLITE,0.0
2022-01-02 02:30:00,MEASUREMENT,0.0
2022-01-02 02:30:00,SATELLITE,0.0
2022-01-02 03:00:00,MEASUREMENT,0.0
2022-01-02 03:00:00,SATELLITE,0.0
2022-01-02 03:30:00,MEASUREMENT,0.0
2022-01-02 03:30:00,SATELLITE,0.0
2022-01-02 04:00:00,MEASUREMENT,0.0
2022-01-02 04:00:00,SATELLITE,0.0
2022-01-02 04:30:00,MEASUREMENT,0.0
2022-01-02 04:30:00,SATELLITE,0.0
2022-01-02 05:00:00,MEASUREMENT,1.396
2022-01-02 05:00:00,SATELLITE,20.285
2022-01-02 05:30:00,MEASUREMENT,56.689
2022-01-02 05:30:00,SATELLITE,140.522
2022-01-02 06:00:00,MEASUREMENT,218.689
2022-01-02 06:00:00,SATELLITE,373.626
2022-01-02 06:30:00,MEASUREMENT,491.143
2022-01-02 06:30:00,SATELLITE,675.345
2022-01-02 07:00:00,MEASUREMENT,866.279
2022-01-02 07:00:00,SATELLITE,1026.903
2022-01-02 07:30:00,MEASUREMENT,1273.054
2022-01-02 07:30:00,SATELLITE,1395.519
2022-01-02 08:00:00,MEASUREMENT,1659.315
2022-01-02 08:00:00,SATELLITE,1746.457
2022-01-02 08:30:00,MEASUREMENT,2012.574
2022-01-02 08:30:00,SATELLITE,2063.16
2022-01-02 09:00:00,MEASUREMENT,2270.449
2022-01-02 09:00:00,SATELLITE,2352.177
2022-01-02 09:30:00,MEASUREMENT,2494.506
2022-01-02 09:30:00,SATELLITE,2617.155
2022-01-02 10:00:00,MEASUREMENT,2709.094
2022-01-02 10:00:00,SATELLITE,2842.358
2022-01-02 10:30:00,MEASUREMENT,2860.41
2022-01-02 10:30:00,SATELLITE,3012.711
2022-01-02 11:00:00,MEASUREMENT,2981.105
2022-01-02 11:00:00,SATELLITE,3121.515
2022-01-02 11:30:00,MEASUREMENT,3064.625
2022-01-02 11:30:00,SATELLITE,3199.97
2022-01-02 12:00:00,MEASUREMENT,3086.982
2022-01-02 12:00:00,SATELLITE,3217.024
2022-01-02 12:30:00,MEASUREMENT,3007.458
2022-01-02 12:30:00,SATELLITE,3122.906
2022-01-02 13:00:00,MEASUREMENT,2998.365
2022-01-02 13:00:00,SATELLITE,3000.68
2022-01-02 13:30:00,MEASUREMENT,2914.634
2022-01-02 13:30:00,SATELLITE,2785.008
2022-01-02 14:00:00,MEASUREMENT,2793.117
2022-01-02 14:00:00,SATELLITE,2594.98
2022-01-02 14:30:00,MEASUREMENT,2648.244
2022-01-02 14:30:00,SATELLITE,2372.886
2022-01-02 15:00:00,MEASUREMENT,2462.009
2022-01-02 15:00:00,SATELLITE,2130.002
2022-01-02 15:30:00,MEASUREMENT,2221.644
2022-01-02 15:30:00,SATELLITE,1867.207
2022-01-02 16:00:00,MEASUREMENT,1903.158
2022-01-02 16:00:00,SATELLITE,1592.804
2022-01-02 16:30:00,MEASUREMENT,1520.631
2022-01-02 16:30:00,SATELLITE,1315.869
2022-01-02 17:00:00,MEASUREMENT,1161.484
2022-01-02 17:00:00,SATELLITE,1044.359
2022-01-02 17:30:00,MEASUREMENT,751.364
2022-01-02 17:30:00,SATELLITE,743.822
2022-01-02 18:00:00,MEASUREMENT,450.939
2022-01-02 18:00:00,SATELLITE,467.738
